IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
*Rʲ	13083D7646EECDBCA25E884BB6A9F485	c-c-d	consonant		+	+	+	-	+	-	+	+		-	+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-	-	-				
ɺ̠̰	1312190145F2B5F473AEE27676243AEA	c-d-d	consonant		-	+		-	+	+	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	+			-
k̙	132465E7FE7AC8FEE3B2E1FBA2E5712D	c-d	consonant	-		-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-	+		-	-	-	-		-	-			-
n̥	1328DE7368EC9B18055FBBC5445E9307	c-d	consonant		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	-	-			-	+	+	-	-	-	-			-
k͉	1343B5A8211539ABE9F024199355A193	c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
t̠ʃ	1348048F53951A5E29ABA6D5360925BA	c-d-c	consonant		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ʊ̈	1366933D0985174EB90E4FB5332D88F3	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
ʉ̟	137140F6FB0FB3EC4B328E06CC0463E7	v-d	vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ʄ̥	13762A985F42574CA8225ECDB9BA274E	c-d	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	+	-	-	-			-	-	+	-	-	-	-			-
ɟː	13A4A3E1AFA73AE37646634033A9D34E	c-d	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	+	-	-	-	+	-			-	-	-	-	-	-	-			-
ŋkʰ	13A7BE16ED86487CFBC92F04FC5F95B4	c-c-c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	+,-	+,-	-			-	+,-	+	-		-	-			-
ə̰̃	13CB79C6FE0162AA6520F860753BD27F	v-d-c	vowel	-		+	-		-	+	+	-			+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-		-
kxʼ	141CE038E609CE179887C726278DB89D	c-c-c	consonant			-	-	-	+	+	-	-	+		+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-		-	-			-
t̰s̰	145A1E93FF1D3277E6CBC682ACDFC10D	c-d-c-d	consonant		+	-		-	+	+	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
e̘ː	14756BA9E09E261E8212B7D75520AB4A	v-d-d	vowel	+		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
kǁxʼ	14BB145889ED9EC987C696799E01E1EC	c-c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
s̻θ	14F8F686B13B38C9A3039543BA8D811A	c-d-c	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+,-	-	-			-
ẽ	1507B68E1E3108371C1F882C40902AA5	v-c	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
tɬʰ	150A538C7E2282D95ADFDBDAD9AAF830	c-c-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		+	-		-	-	-	-			-	-	+	-	-	-	-			-
ũ	1520751621DE93DB6E03975E1867106A	v-c	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
r̪ː	152A7AC1805A3A7E1DE50E23BB1E9F73	c-d-d	consonant		+	+		-	+	-	+	+		+	-	-	-			-		-	+		-	-	+	-			-	+	-	-	-	-	-			+
t̠ʃʰː	152F2D7ACC89986771537225DA4B4464	c-d-c-c-d	consonant		-	-		-	+	-	-	+	+	+	-	-	-			-		-	+		-	-	-	-			-	-	+	-	+	-	-			-
dˀ	156737A64AD26707AB4DDD58B6E3DCC5	c-c	consonant		+	-		-	+	+	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
r̃	15A36705DE9DFAEB67E792ADE7865770	c-c	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			+
rˀ	15A36705DE9DFAEB67E792ADE7865770	c-c	consonant		+	+		-	+	+	+	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			+
oˀ	15A54B2EB800688BEBC33D4C7806AD2B	v-c	vowel	-		+	+		-	+	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɸː	15A7446E30F4988B4F95A3C21E77E254	c-d	consonant			-		-	+	-	+	-	+		-	-	-			+	-	-	+		-	-	-	-		-	-	-	-	-		-	-			-
ãĩ	15A91642F3D4ECE2C4BEF5246E3BDB0C	v-c-v-c	vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	+	+	-	-		-	+	-	-		+	-	+		-
kʷʰː	15AA933317514F2D460E268DA367FF75	c-d-c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	+	-	-	-	-	-		+	-	-	+	-		-	-			-
˨˥˩	15B5F7446E2BE7169E101FD236821837	t-t-t	tone																																				+	
ɖɦ	165345F0391EEED6EEC52FDD96320B23	c-c	consonant		-	-		-	+,-	-	-,+	+,-	-,+	-	-	-	-			-		-	-		-	-	+	-			-	-	-,+	-	-	-	-			-
a̙ː	1661B9126AA47003766CE1BDCAF55E54	v-d-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	+	+	-	-	+	-	+		-	+	-	-		+	-			-
jˀ	16AE9E466BA711A463AF827D79234392	c-c	consonant			+	-	-	-	+	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
ü	16D0A6EF17166B01C31F147AC16483A9	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
jʰ	16EAE18799457EA97890F0E07FBF15EA	c-c	consonant			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	+	-		-	-	+		-
ndr	1707751075465ED2EEC92AB73A97D6E1	c-c-c	consonant		+	-,+		-	+	-	-,+	+	-	-	-	-	-			-		-	-		-	+,-,-	+	-			-	+,-,+	-	-	-	-	-			-,+
ə̃	1709B3BEA8703B449759CCDB8CB0DE22	v-c	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-		-
ɐu	178B86267E4A6AA3CA303E3A738B0BF0	v-v	vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
dz	17B1CFA69C0C6AB5362FFDB585C0C7DC	c-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
d̪̤ː	17BA6391553FDCC002B1F0F0F9D5653F	c-d-d-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	+		-	-	+	-			-	-	+	-	-	-	-			-
χ͈ʷ	17BDE6F898F295650E138E67E1A08E19	c-d-d	consonant			-	+	-	+	-	+	-	+		+	-	+	-	-	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
mˠ	17D3D8B5A69D84B5A0CE42107F458826	c-d	consonant			-	+	-	+	-	-	-			+	-	-	-	+	+	-	-	-	-	-	+	+	-		-	-	+	-	-		-	-			-
ɡ̩	17E39F0AE92D25861412733C09129260	c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		+	-			-
ɣ	1832D7834F81DD97E33C58D9F70EC5C6	c	consonant			-	-	-	+	-	+	-	+		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
r̩	18443624C4BA78CE617C4B6F57563DD4	c-d	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	+	-			+
ɡǃxʼ	1863D9C321E797CCB5DABF69983C7C75	c-c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	+	+			-	-	-	-	-	-	-			-
uʌ	186D8505A10E2009682C406060D998F2	v-v	vowel	-		+	+		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-		-
↓˦˨	187321E24435D8B798F59F7B5FB4BF53	t-t-t	tone																																				+	
ɕː	1883B4EB79FD08129F5AFD246D136228	c-d	consonant		+	-	-	-	+	-	+	+	+	+	+	-	-	+	+	-		-	+	-	-	-	-	-			-	-	-	-	+	-	-			-
ʒ͇	1889F31E6F58D38F4AC8546AA25EDDAB	c-d	consonant		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ʒˀ	1889F31E6F58D38F4AC8546AA25EDDAB	c-d	consonant		-	-		-	+	+	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ã̰	18B4483232AE85E70BF47C8048B32788	v-c-d	vowel	-		+	-		-	+	+	-			+	-		-	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-			-
kǃ	18CEC675864CD88FB8E62C3BE51A7A56	c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
ʌ	18DCAF1C4880F45D5B402E7D776A91D0	v	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
˧˦	18FFFAD0555C1BFDBB825170BC4FE2C9	t-t	tone																																				+	
ɗ	192EEEA914E770D60BEC3F86DAED50AA	c	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		+	-	+	-			-	-	-	-	-	-	-			-
ŋ̥ʲ	19471538AB3BF9950C6EAF224C9CB2ED	c-d-d	consonant			-	+	-	+	-	-	-			+	-	-	+	+	-		-	-	-	-	+	-	-			-	+	+	-		-	-			-
o̤i̤	198087A7FB8122DD8D134D081A020A3D	v-d-v-d	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-,+	+,-	-	-	-	-	-	-	+	-	-	+	-	+	+	-		+	-	+		-
d̪	198E3EBE25854A256D6C67EF286FA260	c-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
e	199408E3D0668F10F475143F0E8CC0CB	v	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
p̻	19A1C61F1A90C603985362CEA256D63D	c-d	consonant			-		-	+	-	-	-	-	+	-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
d̪ʼkxʼ	19CC4F65DDD532237A3237C1A8DB060F	c-d-c-c-c-c	consonant					-																																
βʷ	19E86A88B740D5D3D1162036CF13EF6B	c-d	consonant			-		-	+	-	+	-	+		-	-	-			+	-	-	-		-	-	+	-		+	-	-	-	-		-	-			-
n̪d̪ʷ	19F2DA7E48DF9645D154B7AEF9F35857	c-d-c-d-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			+		-	-		-	+,-	+	-		+	-	+,-	-	-	-	-	-			-
ɛ̰ˑ	1A14099E51A4E86C0005F78443E6431F	v-d-d	vowel	-		+	-		-	+	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		+	+	-	-		+	-	-		-
ɔ̘ː	1A6DDC970513CE465DF399FA5C8104B7	v-d-d	vowel	+		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
n̩	1A98C4788575E4A5B9BC24ABDAAAF566	c-d	consonant		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	+	-			-
a̟ː	1AA8835FD9E691ED7B29A34F2DBBD907	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	+	-	-	+	-	-		-	+	-	-		+	-			-
ˀd̠ʒ	1AC33796316C312A6A1831C8E17F0919	c-c-d-c	consonant		-	-		-	+	+	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ɲ	1AD6D96C35E6ADA62F1EAF5B167F75F7	c	consonant		-	-	-	-	+	-	-	+		+	+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	-	-	-	-	-			-
fː	1AEE2DB972C8FD9AFB48C4C1B451C729	c-d	consonant			-		-	+	-	+	-	+		-	-	-			+	+	-	+		-	-	-	-		-	-	-	-	-		-	-			-
ø̞ˤ	1B3FC40CDA830A2E1D11737C375F56B5	v-d-c	vowel	-		+	-		-	-	+	-			+	-		+	-	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-		+	-	+		-
jai̯	1B661F32F0D92FEEB345C3359E7EE0AB	c-v-v-d	consonant	-		+	-	-	-	-	+	-			+	-	-	+,-,+	+,-,+	-		-	-	-,+,-	-	-	+	-	-		-	+	-	-		-	-	+		-
u̙	1B88162303822E0B2D7697C93A5B8C17	v-d	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-		+	-	+		-
ɬ̪ʲ	1BB9530BD336DDFC99D3821562F679B1	c-d-d	consonant		+	-	+	-	+	-	+	+	+	+	+	-	-	+	+	-		+	-	-	-	-	-	-			-	-	-	-	-	-	-			-
n̺	1BB95EDC77BFC8071367FCFDC5830DCA	c-d	consonant		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
ɣv	1BBF91A91DA050D832549815F32D0A3F	c-c	consonant			-	-	-	+	-	+	-	+		+,-	-	-	-	+	-,+	+	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
˨	1C26A4A7D5F0697C7EA34BA73FC2F46E	t	tone																																				+	
z̞̩	1C4730363DDB02ABFDAD09095968D632	c-d-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	+	-			-
ɢˤ	1C4F7C3A197A9AB45B42BD48F8D5C797	c-c	consonant	-		-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	-	-	+	-	+		-	-	-	-		-	-			-
psʰ	1C7D3DA060A804A9B4D87C2F452BC01F	c-c-c	consonant		+	-		-	+	-	-,+	-,+	-,+	-	-	-	-			+,-	-	-	-		-	-	-	-		-	-	-	+	-	+	-	-			-
ʎ	1C7F2960BE4EDD840C01C94930F1D932	c	consonant		-	+	-	-	+	-	+	+		+	+	-	-	+	+	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
mpfʼ	1CA416178B6BFDAB90518CB53E9812D2	c-c-c-c	consonant			-		-	+	+	-	-	+		-	-	-			+	+	-	-		-	+,-	-	+		-	-	+,-	-	-		-	-			-
pʼkxʼ	1CEAF06F721DE06EF61A80DA5F1C0E73	c-c-c-c-c	consonant					-																																
ɾ̥	1CED68C939B33CA30CB89770A662E5B1	c-d	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	-	-			-	+	+	-	-	-	+			-
ðː	1CFAB94FB31CCC5E51001AD1C96B2268	c-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		-	+		-	-	+	-			-	-	-	-	-	-	-			-
tsʼː	1D1F9ED0B177532C7064E2F75DBF59A6	c-c-c-d	consonant		+	-		-	+	+	-	+	+	-	-	-	-			-		-	+		-	-	-	+			-	-	-	-	+	-	-			-
ɯi	1D4E62F2C956515141FA0F197971C847	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-,+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ĕ̞	1D570F3A6FA261CB94216DD909A2B5F2	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		+	+	-	-		+	-	+		-
pʷˠʰ	1D806FEFC424AFF6AF9E9EED94E84BD4	c-d-d-c	consonant			-	+	-	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	-	-		+	-	-	+	-		-	-			-
ɔ̤ˑ	1D8124F41F54AD1D98316A8F3D5EAADC	v-d-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-		+	-	-		-
ɥ	1D99DEE96BB19529DC9E5ED7FA7BF68B	c	consonant			+	-	-	-	-	+	-			+	-	-	+	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
ŋǀ͓	1DC647509F763C980C3BAB579E6584E0	c-c-d	consonant		+	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-	-	-	-	+	+	-			-	-	-	-	-	-	-			-
kǀ̪	1DD5510BCC64C42CBFE31FD559124F59	c-c-d	consonant		+	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
ɒː	1DEF797A9A7ACCC195043C777570DE07	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	+	-	-	+	-	-	+	-	+	-	-		+	-			-
vʷ	1E236EBEE6B84D8A2F1B1463EBB1413D	c-d	consonant			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		+	-	-	-	-		-	-			-
oɪ	1E2DA7BAFB27DA8F25EB7E835E5D1F00	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-,+	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-		-
cçʷ	1E68F2BB6149847D0125A91AAB0CA43D	c-c-d	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	+		-	-	-	-	-	-	-		+	-	-	-	-	-	-	-			-
˥˧	1E7B898AE46BF6A2E9998A78F45773C4	t-t	tone																																				+	
dɮ	1E8296F0F7BF5A8ABE9B5E8E040E709F	c-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		+	-		-	-	+	-			-	-	-	-	-	-	-			-
m̃ʷ	1EBE599D35542D9558E4754E9AE806D2	c-c-d	consonant			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		+	-	+	-	-		-	-			-
ɘ̃ː	1EE2E9B2358ED0DBC446EA89F70D2758	v-c-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	+	-	-	+	+	-	-		-	+	-	-		+	-	+		-
a̰ˑ	1EF72302C279F836F11F7B4D5F4B19F3	v-d-d	vowel	-		+	-		-	+	+	-			+	-		-	-	-		-	+	+	-	-	+	-	-		+	+	-	-		+	-			-
bʰ	1F0B39C9E43EDAD4E4E4BCEC2A2C955D	c-c	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	+	-		-	-			-
ɬ	1F0C89A7E99CD5113AA994AD2CC86CBC	c	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		+	-		-	-	-	-			-	-	-	-	-	-	-			-
ɡǃʰ	1F143B69FD19493FA78F59AAA4263525	c-c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	+	-	-	-	-			-
ɡb	1F27FEFCD8402C09E00300258B5A7EE2	c-c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
ɑi	1F3071708890EDDCE61D04D68D41543A	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+		-
n̪ʷ	1F3361C4B1EC671ED36DF38DC1DBFFE5	c-d-d	consonant		+	-		-	+	-	-	+		+	-	-	-			+		-	-		-	+	+	-		+	-	+	-	-	-	-	-			-
ŋɣ	1F3D5E2720F0AF12D6543566B7743A36	c-c	consonant			-	-	-	+	-	-,+	-	+		+	-	-	-	+	-		-	-	-	-	+,-	+	-			-	+,-	-	-		-	-			-
χː	1F6C18F9A9C4D756E6794FCEFA60952E	c-d	consonant			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	+	-	-	-	-	-			-	-	-	-		-	-			-
bʷː	1F8090C13981832D8A1C45541739C6AB	c-d-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	+	-		+	-	-	-	-		-	-			-
ŏ̞	1F86CF5DCCEA37002EAC3C9E02DCC35E	v-d-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	+	+	-	-		+	-	+		-
p̰	1F921FEBD8D693905940759A34A6E550	c-d	consonant			-		-	+	+	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
ɯa	1F9E66640E359AC0F4B24450BA2C7575	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	-	-		+	-	+		-
ʈɳ	1F9F2527919EB8CBF0AE867A66B4017D	c-c	consonant		-	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-,+	-,+	-			-	-,+	-	-	-	-	-			-
kǁx	1FC7126B7567AA77B2C019B06C28E8EE	c-c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
wei̯	1FC954E84F9DDFBDE8398E36C4FD97A8	c-v-v-d	consonant	-		+	+,-,-	-	-	-	+	-			+	-	-	-,+,+	+,-,+	+,-,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		-	-	+		-
dˤ	1FCBA2F74274FF6CBC8636C9BAB66A2F	c-c	consonant	-	+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-	+		-	-	-	-	-	-	-			-
dzː	1FECD33E3BFF3123C13B55ACDC99400F	c-c-d	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	+		-	-	+	-			-	-	-	-	+	-	-			-
kpr	1FFB5089D5ED7FF0C7F47F560F38AA06	c-c-c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	-	-		-	-	-	-	-		-	-			-
ɓʲ	202BA0BCA8A03C57F08603FE184D9CDD	c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	+	-	-	-	-	+	-	+	-		-	-	-	-	-		-	-			-
ʕʷʼ	205C46EC7C10C7D30ECAF4252504F2FE	c-d-c	consonant			-	+	-	+	+	+	-	+		+	-	-	-	-	+		-	-	+	-	-	+	+		+	-	-	-	-		-	-			-
bʷ	2060144B3E5025B6C6FAAEBAF9EC4038	c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		+	-	-	-	-		-	-			-
ɖⁿ	206A261653B3F0A282387381C0F1745A	c-d	consonant		-	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-,+	+	-			-	-	-	-	-	-	-			-
kʰʲ	2077067D15A82D1CA2598B51C9BD2B5C	c-c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
ɤ̞̃	209A05A0D1E3611927350CB9B029FDD6	v-d-c	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
n̪t̪	20AE80CAE9038702C8AF54F119A3C7D7	c-d-c-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	+,-	+,-	-			-	+,-	-	-	-	-	-			-
n̻	20C1F9AD9776790CC5F64837AE0C94FC	c-d	consonant		+	-		-	+	-	-	+		+	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
ãẽ̞ˤ	20EFD5584F33D2B038B4FB392CF8776B	v-c-v-d-c-c	vowel	-		+	-		-	-	+	-			+	-		-,+	-	-		-	-	+,-	-	+	+	-	+		-	+	-	-		+	-	+		-
əi	20FC839FE1D89514B132E8CEFDE8C8E8	v-v	vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-,+		-
v̩	21582B442B797016853E1FFF755B0AEB	c-d	consonant			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	-	-		+	-			-
yː	218729C2F787B39322EDB9220D365A1F	v-d	vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ŋǁ͓	222D3E73808A607DA1E338CAAE37B084	c-c-d	consonant		+	-	-	+	+	-	-	+	+	-	+	-	-	-	+	-		-	-	-	-	+	+	-			-	-	-	-	-	-	-			-
kʲʰ	223BEBB6C27C0E6D15422BD5971880A9	c-d-c	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
n̠̤	225894A7B778945FC7F63E4C30033BC9	c-d-d	consonant		-	-		-	+	-	-	+		+	-	-	-			-		-	-		-	+	+	-			-	+	+	-	-	-	-			-
ɡʘx	2274D32EDAF53F7F8879D563DC28219B	c-c-c	consonant			-	-	+	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
ɨi	22995742FC7BB8B81B0C0D60E71E838E	v-v	vowel	-		+	-		-	-	+	-			+	-		-,+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
kʰʷ	22C1B780E3D66A22FC325480E79344F5	c-c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	-	-	-		+	-	-	+	-		-	-			-
kǃʰʼ	22C2D045B233EC9998EE7A8092D75671	c-c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
ŋˑ	22C701104D0AD25AACB45527D5F7D7C6	c-d	consonant			-	-	-	+	-	-	-			+	-	-	-	+	-		-	+	-	-	+	+	-			+	+	-	-		-	-			-
ɡ̤ʷ	22CFB5EBFC30E980E078F530DA3C246A	c-d-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	-	+	-		+	-	-	+	-		-	-			-
pʃʼ	22ECB79879CC987E91DC4F9D7726ACE6	c-c-c	consonant		-	-		-	+	+	-,+	-,+	-,+	+	-	-	-			+,-	-	-	-		-	-	-	+		-	-	-	-	-	+	-	-			-
˨˦	22EED960380C45E1FAF421D98727ABF2	t-t	tone																																				+	
dʑᶣ	23152D65BB629BBF25CF320773B99C79	c-c-d	consonant		+	-	+	-	+	-	-	+	+	+	+	-	-	+	+	+		-	-	-	-	-	+	-		+	-	-	-	-	+	-	-			-
ʌ̃ː	239042BFB2014DFC337EAF40A01F04FF	v-c-d	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	+	-	-	+	+	-	-		-	+	-	-		+	-	-		-
ɳɖr	23A9637856DBDBA9DFBB64861B3CBC09	c-c-c	consonant		-,+	-,+		-	+	-	-,+	+	-	-	-	-	-			-		-	-		-	+,-,-	+	-			-	+,-,+	-	-	-	-	-			-,+
